year,month,transportation_type,day_count,total_ridership,total_miles
2022,6,all bus,,"16,526,336","58,259,882"
2022,6,rail,,"4,913,060","27,633,743"
2022,7,all bus,,"16,019,010","57,732,728"
2022,7,rail,,"4,918,618","29,263,929"
2022,8,all bus,,"17,482,624","62,118,811"
2022,8,rail,,"5,157,288","30,750,453"
2022,9,all bus,,"17,584,817","61,890,322"
2022,9,rail,,"5,226,189","31,180,305"
2022,10,all bus,,"18,596,504","64,646,200"
2022,10,rail,,"5,626,682","33,276,467"
2022,11,all bus,,"16,948,386","59,911,091"
2022,11,rail,,"5,206,301","30,819,176"
2022,12,all bus,,"16,614,874","59,192,246"
2022,12,rail,,"5,001,677","29,376,251"
2023,1,all bus,,"16,469,953","58,759,275"
2023,1,rail,,"5,175,891","30,392,694"
2023,2,all bus,,"16,342,624","57,435,004"
2023,2,rail,,"5,089,788","29,937,418"
2023,3,all bus,,"18,114,248","64,212,580"
2023,3,rail,,"5,541,739","32,610,699"
2023,4,all bus,,"18,226,740","64,580,155"
2023,4,rail,,"5,434,555","31,788,523"
2023,5,all bus,,"19,533,498","68,040,277"
2023,5,rail,,"5,631,910","32,909,749"
2023,6,all bus,,"18,679,084","65,576,326"
2023,6,rail,,"5,432,284","31,768,874"
2023,7,all bus,,"17,913,190","64,426,516"
2023,7,rail,,"5,608,981","35,688,578"
2023,8,all bus,,"19,539,621","69,083,909"
2023,8,rail,,"5,772,672","36,971,045"
2023,9,all bus,,"19,566,970","68,357,215"
2023,9,rail,,"5,333,935","34,453,403"
2023,10,all bus,,"20,919,709","72,570,592"
2023,10,rail,,"5,805,920","37,586,242"
2023,11,all bus,,"19,171,550","67,000,542"
2023,11,rail,,"5,225,551","34,106,166"
2023,12,all bus,,"18,445,490","64,335,320"
2023,12,rail,,"5,112,120","33,348,001"
